순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,year
75,화성에서 온 남자 금성에서 온 여자,존 그레이 지음;김경숙 옮김,친구미디어,2000,,9.78899E+12,2590,192.1,685,2002
77,비나리 달이네 집,권정생 글;김동성 그림,낮은산,2001,,9.78899E+12,73810,813.6,684,2002
78,사랑을 선택하는 특별한 기준:김형경 장편소설,김형경 지음,문이당,2001,1,9.78897E+12,3810,813.6,676,2002
79,오체 불만족,오토다케 히로타다 지음;전경빈 옮김,창해,1999,,9.78898E+12,3830,838,674,2002
80,열 살이면 세상을 알 만한 나이,노경실 글;이상권 그림,푸른숲,2001,,9.78897E+12,73810,813.6,673,2002
81,열정의 습관 :전경린 장편소설 ,지은이: 전경린,이룸,2002,,9.78899E+12,3810,813.7,671,2002
82,(대하예술소설)혼불,최명희 지음,한길사,1996,1,9.78894E+12,3810,813.6,669,2002
82,멸치 :김주영 장편소설 ,지은이: 김주영,문이당,2002,,9.78897E+12,3810,813.62,669,2002
84,내 생에 꼭 하루뿐일 특별한 날:전경린 장편소설,지은이: 전경린,문학동네,1999,,9.78898E+12,3810,813.6,668,2002
84,영어공부 절대로 하지마라!,정찬용 지음,사회평론,1999,,9.78899E+12,3740,740,668,2002
86,사랑을 선택하는 특별한 기준:김형경 장편소설,김형경 지음,문이당,2001,2,9.78897E+12,3810,813.6,666,2002
87,존재는 눈물을 흘린다:공지영 소설,공지영 지음,창작과비평사,1999,,9.78894E+12,3810,813.6,664,2002
88,한강:趙廷來 大河小說,조정래 저,해냄출판사,2001-2002,9,9.78897E+12,4810,813.6,662,2002
89,새의 선물:은희경 장편소설,은희경 저,문학동네,1999,,9.78899E+12,3810,813.6,647,2002
90,한강:趙廷來 大河小說,조정래 저,해냄출판사,2001-2002,8,9.78897E+12,4810,813.6,646,2002
91,초대받은 아이들,황선미 글;김진이 그림,웅진닷컴,2001,,9.7889E+12,74810,813.6,637,2002
91,(까치와 소담이의) 수수께끼 놀이,김성은 글;김종도 그림,사계절출판사,2006,,9.78897E+12,77810,813.6,637,2002
93,부자들이 들려주는 돈 관리 7가지 방법,로버트 기요사키;형선호 옮김,황금가지,2001,2,9.78898E+12,3320,327.83,635,2002
94,사슴벌레여자:윤대녕 장편소설,윤대녕 지음,이룸,2001,,9.78899E+12,3810,813.6,634,2002
95,숲 속에서 ,글·그림: 김재홍,길벗어린이,2012,,9.78899E+12,77810,813.7,630,2002
96,그 많던 싱아는 누가 다 먹었을까 :박완서 장편소설 ,지은이: 박완서,웅진출판,1992,,9.7889E+12,33810,813.62,626,2002
97,한강:趙廷來 大河小說,조정래 저,해냄출판사,2001-2002,10,9.78897E+12,4810,813.6,616,2002
98,바다기린,아키야마 타다시 글·그림;박영미 옮김,베이비북스,2001,,9.78899E+12,77800,833.6,610,2002
99,연탄길 :가슴 찡한 우리 이웃들의 이야기,이철환 지음,삼진기획,2002,2,9.78897E+12,3810,818,607,2002
99,영어는 무조건 통암기가 최고다 2,임삼진,현재,2001,,9.78899E+12,,,607,2002
101,나쁜 어린이 표,글: 황선미;그림: 권사우,웅진씽크빅,2006,,9.7889E+12,74810,813.6,601,2002
101,현명한 부모들은 아이를 느리게 키운다,신의진 지음,중앙M&B,2000,,9.78898E+12,23810,598.1,601,2002
103,그녀의 여자:서영은 장편소설,서영은 지음,문학사상사,2000,,9.78897E+12,3810,813.6,599,2002
104,나는 빠리의 택시운전사,홍세화 지음,창작과 비평사,1995,,9.78894E+12,3810,818,597,2002
105,메아리 ,글: 이주홍 ;그림: 김동성,길벗어린이,2012,,9.78899E+12,77810,813.6,596,2002
106,잭 웰치·끝없는 도전과 용기,잭 웰치 지음;이동현 옮김,청림출판,2001,,9.78894E+12,3320,325.04,589,2002
107,돈버는 사람은 분명 따로 있다,이상건 지음,더난출판,2001,,9.78898E+12,13320,327.8,587,2002
108,동강의 아이들 ,글·그림: 김재홍,길벗어린이,2012,,9.78899E+12,77810,813.7,583,2002
108,우리 몸의 구멍,허은미 글;이혜리 그림,돌베개어린이,2000,,9.789E+12,77370,511,583,2002
